seed,model,n_graphs,test_auprc,test_P_maxF1,test_R_maxF1,test_F1_maxF1,test_P_p20,test_R_p20,test_F1_p20,p20_fallback,test_P_p15,test_R_p15,test_F1_p15,p15_fallback
1,baseline,837,0.08443798639388361,0.11184210526310534,0.23196881091595326,0.15091946690400007,0.14851485148490345,0.08771929824552854,0.11029411718003894,False,0.11681508643262609,0.21734892787503182,0.15195911368484571,False
1,hardneg,837,0.0681364661466963,0.0908683974932449,0.1978557504871366,0.12453987686919153,0.11999999999956364,0.03216374269002713,0.05073020719919698,False,0.10681399631666039,0.11306042884979234,0.10984848434878436,False
7,baseline,837,0.08276272727950575,0.101454681089108,0.2583095916426797,0.14568826954676148,0.234234234232124,0.02469135802466791,0.04467353934628931,False,0.2236842105248442,0.03228869895533496,0.05643153504915687,False
7,hardneg,837,0.06258226003369535,0.07928488146129838,0.19373219373200976,0.1125206835370554,,,,True,0.10109289617458718,0.0351377018043351,0.05214940060373438,False
42,baseline,837,0.09404525833885409,0.13704819277098115,0.17516843118366202,0.15378115709076265,0.22325581395244998,0.04619826756492185,0.0765550236392113,False,0.12700449005764786,0.19056785370530263,0.15242494178319288,False
42,hardneg,837,0.07111515513702835,0.09090909090905155,0.2021174205965331,0.12541056989143975,0.0,0.0,0.0,False,0.16888888888813827,0.03657362848889646,0.06012658198574572,False
123,baseline,837,0.10795707656558909,0.10591430295711952,0.3301975540918813,0.16038382416952263,0.20934959349550947,0.09689557855117883,0.13247588381162145,False,0.1390313390312598,0.22953904045133627,0.17317246226955957,False
123,hardneg,837,0.07224731892052762,0.07782864617395294,0.33584195672593053,0.1263716811103958,0.18518518518175583,0.009407337723415421,0.017905102862296615,False,0.15909090909018594,0.03292568203195397,0.05455962559262591,False
999,baseline,837,0.09543446425517088,0.12180451127813444,0.2129710780015662,0.154974489332899,,,,True,0.29508196720827734,0.01577563540752342,0.029950083098279068,False
999,hardneg,837,0.07717615463513704,0.09713100587621945,0.24627519719522675,0.13931581516191757,,,,True,,,,True
