seed,model,n_graphs,test_auprc,test_P_maxF1,test_R_maxF1,test_F1_maxF1,test_P_p20,test_R_p20,test_F1_p20,p20_fallback,test_P_p15,test_R_p15,test_F1_p15,p15_fallback
1,baseline,837,0.0820811877080587,0.11948790896150818,0.16374269005831993,0.1381578942489355,0.13384615384594792,0.08479532163734425,0.10381861527683114,False,0.11570709893788948,0.20175438596471565,0.14706927129506595,False
1,feat_v1,837,0.09513381160617626,0.1137055837563067,0.32748538011663986,0.16880180820811666,0.15212981744406479,0.14619883040921422,0.14910536729328996,False,0.12109862671655384,0.2836257309938756,0.1697287834825444,False
7,baseline,837,0.08293696809971768,0.09565217391301575,0.3133903133900158,0.14656895367225906,0.15584415584213188,0.011396011396000574,0.02123893792606312,False,0.14246575342446238,0.09876543209867164,0.11665731864134789,False
7,feat_v1,837,0.0958274029243576,0.12188365650963902,0.25071225071201264,0.16402609462025075,0.17680608364985398,0.08831908831900445,0.11779607301976502,False,0.12787056367425476,0.23266856600167837,0.16503873312246348,False
42,baseline,837,0.09241746298280076,0.11945945945939489,0.212704523580161,0.15299411515023398,0.18469656992035702,0.06737247353217769,0.0987306060961912,False,0.1260343730107409,0.19056785370530263,0.15172413745169183,False
42,feat_v1,837,0.097964271649381,0.11055456171731286,0.2974013474491844,0.16118935797725822,0.1827731092433135,0.08373435996142085,0.11485148471741288,False,0.13294797687853588,0.22136669874858386,0.1661249543883665,False
123,baseline,837,0.1000663125438474,0.11080236193118763,0.30009407337695193,0.16184677789116528,0.1906474820140456,0.09971777986820346,0.13094502734380678,False,0.13329200247976858,0.20225776105343155,0.16068759294402077,False
123,feat_v1,837,0.10520851614087706,0.13702422145319237,0.18626528692362535,0.15789473635357892,0.1959595959592001,0.09125117591712958,0.12451861317348446,False,0.13563659628910069,0.19943555973640692,0.16146229959416525,False
999,baseline,837,0.10570700772849342,0.1456058242328936,0.2453987730059199,0.18276762355333753,,,,True,0.18617021276562737,0.09202453987721997,0.1231671549823383,False
999,feat_v1,837,0.11896878253989582,0.14824248599075485,0.25503943908829535,0.1874999995349439,0.28099173553486784,0.02979842243643313,0.053882725658553954,False,0.24475524475467422,0.09202453987721997,0.13375796138610166,False
